koi_period,koi_duration,koi_depth,koi_prad,koi_sma,koi_incl,koi_teq,koi_srad,koi_smass,koi_kepmag,koi_disposition,mission,tmag_raw
7.442652004,2.3078,24446.0,15.03,0.0742,89.72,967.0,0.956,0.981,15.27,FALSE POSITIVE,kepler,
16.38489988,3.0249,1127.1,2.0,0.1084,90.0,433.0,0.615,0.633,15.095,CONFIRMED,kepler,
7.8774163,2.0805,1306.1,2.16,0.0665,89.92,553.0,0.615,0.633,15.095,CONFIRMED,kepler,
36.4454001,4.007,1122.3,1.99,0.1847,89.98,332.0,0.615,0.633,15.095,CONFIRMED,kepler,
3.728732147,2.683,5226.5,6.02,0.0455,86.7,1023.0,0.809,0.907,15.523,CONFIRMED,kepler,
40.4195037,3.362,6256.0,7.51,0.2062,89.05,467.0,0.781,0.714,15.487,CANDIDATE,kepler,
2.243380573,1.1196,821.7,1.99,0.028,82.88,822.0,0.564,0.578,15.135,CONFIRMED,kepler,
10.405998015,6.5036,14489.0,11.23,0.0855,88.57,833.0,0.924,0.77,15.562,FALSE POSITIVE,kepler,
2.337437946,1.9982,971.2,2.34,0.0325,88.19,1070.0,0.765,0.85,15.334,CONFIRMED,kepler,
7.2406612,0.558,556.4,19.45,0.0692,87.62,734.0,0.765,0.85,15.334,CANDIDATE,kepler,
3.43591631,3.133,23.2,0.55,0.0437,84.62,1272.0,1.087,0.941,12.791,CANDIDATE,kepler,
11.59822233,2.5237,2804.5,2.65,0.0798,88.62,396.0,0.473,0.503,15.937,CONFIRMED,kepler,
6.575315881,4.3084,2793.3,5.31,0.067,88.03,1015.0,0.989,0.927,15.312,CONFIRMED,kepler,
7.275040844,7.5377,3001.0,4.86,0.0732,85.29,833.0,0.867,0.986,15.08,CONFIRMED,kepler,
19.27153892,2.7594,1219.8,1.93,0.1171,89.97,393.0,0.56,0.576,15.385,CONFIRMED,kepler,
10.06524317,1.369,1053.3,1.91,0.076,89.22,488.0,0.56,0.576,15.385,CONFIRMED,kepler,
12.3935651,3.8896,916.6,2.66,0.0983,86.13,677.0,0.75,0.832,15.505,CONFIRMED,kepler,
43.84439721,6.802,615.2,2.87,0.2395,88.27,531.0,1.012,0.951,12.882,CONFIRMED,kepler,
3.341913228,3.813,725.3,21.55,0.0415,56.44,1032.0,0.811,0.853,15.629,FALSE POSITIVE,kepler,
1.626630225,2.1145,1620.6,32.43,0.026,58.03,1547.0,0.973,0.889,15.279,FALSE POSITIVE,kepler,
2.711504086,3.0099,837.5,3.12,0.0401,89.81,1420.0,1.076,1.169,15.541,CONFIRMED,kepler,
7.21203748,4.0491,950.4,3.32,0.077,89.95,1025.0,1.076,1.169,15.541,CONFIRMED,kepler,
14.1798187,2.505,459.9,1.88,0.1137,89.95,711.0,0.878,0.975,15.727,FALSE POSITIVE,kepler,
8.47237911,2.7245,1123.5,2.59,0.0778,89.95,751.0,0.788,0.884,15.339,CONFIRMED,kepler,
60.4189369,5.039,931.3,2.36,0.2884,89.94,390.0,0.788,0.884,15.339,CONFIRMED,kepler,
12.611904345,5.1497,6105.6,7.4,0.1058,88.17,753.0,0.919,0.992,15.14,CONFIRMED,kepler,
1.433769925,1.8868,1976.3,46.58,0.0256,58.99,1920.0,1.339,1.083,15.122,FALSE POSITIVE,kepler,
10.31872301,3.836,871.7,28.59,0.0944,78.15,876.0,1.06,1.05,15.065,FALSE POSITIVE,kepler,
2.539183147,2.4282,382.1,2.06,0.0355,88.28,1332.0,1.062,0.921,15.026,CONFIRMED,kepler,
6.770300385,2.0844,1304.0,2.77,0.064,86.84,812.0,0.679,0.767,15.591,CONFIRMED,kepler,
0.444291966,2.0792,10967.0,27.51,0.0101,39.97,1836.0,0.636,0.709,15.748,FALSE POSITIVE,kepler,
10.181584004,3.5089,5741.1,7.73,0.0884,85.87,812.0,0.836,0.885,15.657,CANDIDATE,kepler,
20.06036336,3.3203,1494.7,1.96,0.115,89.21,361.0,0.493,0.502,15.954,CONFIRMED,kepler,
46.1842039,4.758,1394.7,1.83,0.2005,89.99,273.0,0.493,0.502,15.954,CONFIRMED,kepler,
23.9800854,5.351,104.0,1.31,0.1602,85.45,649.0,1.012,0.951,12.882,CONFIRMED,kepler,
7.82502168,2.186,520.8,1.2,0.0614,87.99,494.0,0.493,0.502,15.954,CONFIRMED,kepler,
3.895936525,2.3111,8544.8,7.34,0.046,87.56,1005.0,0.774,0.866,15.725,CONFIRMED,kepler,
22.36646466,5.228,986.8,2.32,0.1449,89.26,536.0,0.734,0.821,15.583,CONFIRMED,kepler,
1.625522174,2.38963,7969.0,9.73,0.0265,89.22,1579.0,1.106,0.935,15.001,CONFIRMED,kepler,
19.620346923,2.0038,21725.0,13.6,0.1389,89.66,643.0,0.905,0.928,15.562,CANDIDATE,kepler,
7.544039,6.222,322.6,17.47,0.0731,58.94,838.0,0.824,0.919,15.559,FALSE POSITIVE,kepler,
9.02930689,3.1449,1019.8,2.57,0.0796,89.94,757.0,0.82,0.824,15.387,CONFIRMED,kepler,
10.328035714,7.7915,16918.0,13.28,0.0888,88.54,843.0,1.024,0.874,15.646,FALSE POSITIVE,kepler,
143.2063047,8.9302,10566.0,8.9,0.5336,89.83,308.0,0.867,0.986,15.403,CONFIRMED,kepler,
6.164876,3.262,55.8,0.79,0.0648,86.69,1021.0,1.012,0.951,12.882,CONFIRMED,kepler,
60.32494216,6.6188,20280.0,12.19,0.2998,89.83,411.0,0.867,0.986,15.403,CONFIRMED,kepler,
29.1598615,4.803,488.0,1.91,0.1847,89.38,524.0,0.867,0.986,15.403,CONFIRMED,kepler,
1.540397253,2.1541,816.1,25.69,0.0264,51.56,1470.0,0.915,1.034,15.974,FALSE POSITIVE,kepler,
2.99025443,5.414,589.2,1.7,0.0367,89.81,918.0,0.731,0.737,15.842,FALSE POSITIVE,kepler,
1.594745374,1.9604,15044.0,11.3,0.0258,85.25,1539.0,0.893,0.901,15.53,CONFIRMED,kepler,
4.783002698,2.335,1008.7,2.5,0.0535,89.99,886.0,0.807,0.891,15.119,CONFIRMED,kepler,
20.50588921,4.0595,2105.5,3.41,0.1326,89.62,518.0,0.761,0.739,15.398,CONFIRMED,kepler,
3.340218842,1.9104,1632.6,2.03,0.0348,87.85,656.0,0.493,0.502,15.954,CONFIRMED,kepler,
2.507089906,2.0067,1339.2,30.26,0.0365,67.79,1326.0,0.939,1.03,15.555,FALSE POSITIVE,kepler,
18.64932728,4.4056,893.6,3.12,0.139,89.86,701.0,1.053,1.026,15.386,CONFIRMED,kepler,
4.90144976,4.1654,140.7,1.7,0.0586,86.1,1262.0,1.402,1.113,12.487,CONFIRMED,kepler,
9.75192101,4.793,418.0,2.76,0.0902,80.97,870.0,1.053,1.026,15.386,CONFIRMED,kepler,
38.5576546,5.794,993.0,4.02,0.2255,87.91,550.0,1.053,1.026,15.386,CONFIRMED,kepler,
3.525632539,2.59959,22335.0,11.58,0.0431,89.41,975.0,0.793,0.855,15.224,CONFIRMED,kepler,
34.84398644,2.9315,4523.6,7.61,0.1971,88.92,511.0,0.871,0.84,15.684,CANDIDATE,kepler,
7.748094239,3.5957,2472.1,5.52,0.081,88.02,964.0,1.085,1.181,15.67,CONFIRMED,kepler,
23.96793669,3.827,1182.3,1.8,0.1322,89.47,329.0,0.524,0.536,15.414,CONFIRMED,kepler,
8.29561738,1.3421,824.3,1.82,0.0652,87.95,469.0,0.524,0.536,15.414,CONFIRMED,kepler,
8.11437482,2.2736,1558.0,2.1,0.0649,88.61,460.0,0.517,0.553,15.877,CONFIRMED,kepler,
38.036729482,4.34617,82872.0,27.5,0.2252,89.63,500.0,0.932,1.051,15.472,FALSE POSITIVE,kepler,
4.64090031,35.512,2450.6,30.09,0.0503,19.01,1155.0,0.826,0.786,15.27,CANDIDATE,kepler,
3.747838198,5.0642,616.0,13.65,0.046,53.12,1031.0,0.826,0.926,13.496,FALSE POSITIVE,kepler,
14.74914825,6.0995,430.2,2.89,0.1221,89.47,874.0,1.402,1.113,12.487,CONFIRMED,kepler,
21.81295996,4.3791,1175.4,3.38,0.1495,89.92,639.0,0.999,0.934,15.54,CONFIRMED,kepler,
7.91936937,3.3148,15148.0,10.34,0.0737,87.3,814.0,0.776,0.852,15.805,FALSE POSITIVE,kepler,
1.028436523,1.8606,8098.0,72.77,0.0197,57.3,1947.0,0.99,0.959,15.202,CANDIDATE,kepler,
15.37562369,3.3169,15337.0,11.01,0.1121,88.73,600.0,0.833,0.793,16.422,CONFIRMED,kepler,
8.10363271,3.161,887.9,2.11,0.0712,89.87,687.0,0.732,0.733,15.289,CONFIRMED,kepler,
4.71510843,2.506,417.5,1.46,0.0496,88.96,823.0,0.732,0.733,15.289,CONFIRMED,kepler,
6.365839713,2.9721,780.7,2.44,0.0659,87.92,914.0,0.849,0.939,15.09,CONFIRMED,kepler,
5.97581754,3.065,962.4,3.86,0.066,81.71,1047.0,0.997,1.072,15.546,FALSE POSITIVE,kepler,
2.446737317,4.7211,1177.9,26.25,0.0351,44.81,1261.0,0.863,0.959,15.021,FALSE POSITIVE,kepler,
3.04033046,1.8411,10859.0,8.99,0.0374,85.95,1021.0,0.791,0.754,15.028,CONFIRMED,kepler,
15.33528675,3.897,3081.4,5.0,0.1179,87.95,610.0,0.817,0.926,15.855,CONFIRMED,kepler,
7.95825328,4.377,50.0,1.06,0.0809,85.95,1074.0,1.402,1.113,12.487,CONFIRMED,kepler,
31.33046135,5.176,5073.8,6.5,0.1898,88.62,481.0,0.817,0.926,15.855,CONFIRMED,kepler,
3.9043425,3.831,16228.0,12.28,0.0484,84.06,1104.0,0.898,0.989,15.016,FALSE POSITIVE,kepler,
9.286358079,3.49949,44791.0,17.61,0.081,89.06,796.0,0.821,0.82,15.365,FALSE POSITIVE,kepler,
3.951405455,2.1862,2453.9,31.44,0.0482,76.4,1133.0,0.869,0.953,15.446,FALSE POSITIVE,kepler,
23.65369415,8.2183,3341.8,7.89,0.1658,89.98,731.0,1.384,1.083,15.084,CONFIRMED,kepler,
13.23352214,6.7372,504.6,3.06,0.1126,89.95,888.0,1.384,1.083,15.084,CONFIRMED,kepler,
6.15560285,4.9843,285.0,2.32,0.0676,88.56,1146.0,1.384,1.083,15.084,CONFIRMED,kepler,
2.090811305,3.388,115.9,1.62,0.0329,77.03,1642.0,1.384,1.083,15.084,CONFIRMED,kepler,
3.180027898,3.5797,120.3,1.53,0.0439,88.34,1458.0,1.402,1.113,12.487,CONFIRMED,kepler,
50.4467417,7.159,370.3,2.67,0.2747,89.57,568.0,1.384,1.083,15.084,CONFIRMED,kepler,
11.76307164,2.9076,1037.3,2.35,0.0954,89.91,616.0,0.756,0.849,15.208,CONFIRMED,kepler,
56.2279271,3.57,862.7,2.37,0.2707,89.56,366.0,0.756,0.849,15.208,CONFIRMED,kepler,
2.384052875,3.0918,1268.1,17.06,0.0308,58.76,1010.0,0.701,0.683,15.836,FALSE POSITIVE,kepler,
7.953547,2.6312,875.4,2.25,0.0712,89.24,696.0,0.779,0.759,15.66,CONFIRMED,kepler,
4.14451656,2.3421,391.8,1.48,0.0461,89.99,864.0,0.779,0.759,15.66,CONFIRMED,kepler,
4.859386384,2.2757,6044.3,38.33,0.0571,81.27,1114.0,0.988,1.05,15.311,FALSE POSITIVE,kepler,
10.526294577,2.5211,9768.0,8.24,0.088,88.69,713.0,0.793,0.82,15.305,CONFIRMED,kepler,
4.583520948,2.7055,3812.1,5.39,0.0535,89.81,1038.0,0.877,0.973,15.287,CONFIRMED,kepler,
3.76181843,3.5176,510.6,2.66,0.047,75.62,1121.0,0.949,0.974,15.257,CONFIRMED,kepler,
8.20396958,2.9667,1024.4,3.01,0.0735,86.43,742.0,0.826,0.785,15.376,CONFIRMED,kepler,
14.49645186,4.016,647.5,3.01,0.1074,84.34,613.0,0.826,0.785,15.376,CONFIRMED,kepler,
6.54626149,2.75,655.9,2.19,0.0668,87.46,810.0,0.817,0.926,15.855,CONFIRMED,kepler,
12.71809866,3.0957,1149.4,2.31,0.0934,89.17,562.0,0.686,0.67,15.389,CONFIRMED,kepler,
36.06588163,4.3246,1563.8,2.64,0.1871,89.77,397.0,0.686,0.67,15.389,CONFIRMED,kepler,
4.190425659,2.8589,2877.4,6.21,0.0535,87.52,1234.0,1.135,1.163,15.27,CONFIRMED,kepler,
3.709870784,3.0694,2020.3,4.35,0.0471,89.86,1151.0,0.978,1.013,15.581,CONFIRMED,kepler,
16.3297527,6.271,1187.5,3.75,0.1255,86.59,727.0,0.987,0.989,15.447,CONFIRMED,kepler,
27.807566216,4.21587,25391.0,13.84,0.1711,88.96,554.0,0.785,0.865,15.482,CONFIRMED,kepler,
80.8723469,11.195,3604.6,7.59,0.3577,89.4,452.0,1.238,0.932,15.201,CONFIRMED,kepler,
3.166465862,2.9381,4357.2,26.82,0.0371,71.8,954.0,0.704,0.68,15.999,FALSE POSITIVE,kepler,
24.99324319,5.9409,269.6,2.29,0.1651,88.37,712.0,1.317,0.961,12.377,CONFIRMED,kepler,
10.35533116,3.1775,750.6,2.47,0.0895,89.93,777.0,0.918,0.891,15.018,CONFIRMED,kepler,
16.08518937,3.984,1442.4,3.68,0.1173,87.21,613.0,0.826,0.83,15.219,CONFIRMED,kepler,
235.9986399,8.2284,20715.0,10.59,0.6534,89.76,188.0,0.657,0.666,15.172,CANDIDATE,kepler,
7.49018305,2.7297,1123.6,2.56,0.0703,89.95,753.0,0.787,0.823,15.599,CONFIRMED,kepler,
36.2761238,4.7865,1572.6,3.03,0.2012,89.97,445.0,0.787,0.823,15.599,CONFIRMED,kepler,
17.46087931,2.2641,812.4,2.32,0.1236,89.31,568.0,0.787,0.823,15.599,CONFIRMED,kepler,
56.0560754,4.685,1626.0,1.94,0.228,89.99,233.0,0.491,0.503,15.849,CONFIRMED,kepler,
41.408316686,5.0264,22839.0,11.38,0.2162,89.68,453.0,0.747,0.786,15.196,CONFIRMED,kepler,
39.74893077,7.3051,15179.0,14.21,0.2311,88.3,552.0,0.964,1.041,15.344,CANDIDATE,kepler,
5.715425977,2.5242,908.1,2.47,0.0611,88.81,850.0,0.826,0.927,15.086,CONFIRMED,kepler,
49.18394185,11.3364,1646.2,8.2,0.2829,89.94,669.0,2.057,1.247,12.654,CONFIRMED,kepler,
20.0261412,1.611,421.2,2.28,0.1409,88.43,559.0,0.826,0.927,15.086,CONFIRMED,kepler,
13.61014819,2.594,5732.9,19.02,0.1061,86.94,733.0,0.903,0.857,15.06,CANDIDATE,kepler,
10.44331991,2.743,1159.8,2.66,0.0857,89.55,667.0,0.802,0.769,15.546,FALSE POSITIVE,kepler,
2.237489571,1.8119,315.8,1.41,0.0325,89.23,1160.0,0.81,0.91,15.001,CONFIRMED,kepler,
5.851520671,3.11058,33004.0,14.62,0.0591,89.27,901.0,0.806,0.804,15.33,FALSE POSITIVE,kepler,
3.167893418,2.1814,781.2,2.62,0.0426,89.87,1221.0,0.94,1.026,15.533,CONFIRMED,kepler,
4.311780262,2.7251,1154.0,3.11,0.0511,89.08,1038.0,0.927,0.956,15.604,CONFIRMED,kepler,
20.0504494,4.556,840.9,2.69,0.1423,89.31,622.0,0.927,0.956,15.604,CONFIRMED,kepler,
9.76734503,1.6585,569.1,2.67,0.0881,87.68,791.0,0.927,0.956,15.604,CONFIRMED,kepler,
119.0207044,8.1405,7430.5,8.98,0.4582,89.96,366.0,1.062,0.904,15.085,CANDIDATE,kepler,
190.3200468,15.284,1141.7,7.78,0.6972,89.24,426.0,2.057,1.247,12.654,CONFIRMED,kepler,
2.861159894,1.8832,1014.3,4.37,0.0406,77.84,1355.0,1.021,1.09,15.618,FALSE POSITIVE,kepler,
26.44439337,3.9783,1843.5,3.91,0.1687,89.97,562.0,0.929,0.915,15.158,CONFIRMED,kepler,
51.53997972,6.3994,3644.3,5.51,0.2632,89.84,450.0,0.929,0.915,15.158,CONFIRMED,kepler,
5.902245782,2.9003,702.3,2.43,0.0621,89.23,926.0,0.929,0.915,15.158,CONFIRMED,kepler,
2.382951591,1.8876,391.6,1.86,0.0339,86.85,1253.0,0.929,0.915,15.158,CONFIRMED,kepler,
21.02250608,4.1072,1772.5,3.07,0.1378,89.95,521.0,0.75,0.789,15.859,CONFIRMED,kepler,
3.219814777,2.0642,488.2,1.69,0.04,89.72,998.0,0.787,0.823,15.599,CONFIRMED,kepler,
5.912273234,2.3254,961.4,1.73,0.0537,89.51,585.0,0.57,0.586,15.036,CONFIRMED,kepler,
8.98581901,2.8606,881.3,1.65,0.0709,89.98,509.0,0.57,0.586,15.036,CONFIRMED,kepler,
12.940668656,2.4845,42450.0,22.94,0.1039,88.54,723.0,0.809,0.895,15.215,CANDIDATE,kepler,
20.5452375,2.517,218.5,2.41,0.1437,87.6,742.0,1.264,0.937,12.003,FALSE POSITIVE,kepler,
33.60123371,4.4056,7425.9,8.46,0.1956,89.23,495.0,0.93,0.882,15.262,CONFIRMED,kepler,
6.76652928,2.9004,450.7,1.97,0.0672,88.51,845.0,0.93,0.882,15.262,CONFIRMED,kepler,
4.347288783,2.1024,451.6,2.36,0.0524,89.91,1174.0,1.122,1.014,15.024,CONFIRMED,kepler,
4.601811819,2.2607,755.9,2.35,0.0501,87.56,896.0,0.833,0.793,15.024,CONFIRMED,kepler,
11.18719905,3.252,353.6,1.55,0.0907,89.1,667.0,0.833,0.793,15.024,CONFIRMED,kepler,
4.220965778,3.0854,2260.0,2.62,0.0418,85.03,595.0,0.517,0.544,15.692,CONFIRMED,kepler,
6.998099523,2.0488,20285.0,588.66,0.0698,79.0,853.0,0.829,0.926,15.877,FALSE POSITIVE,kepler,
5.95489993,2.3892,1410.7,2.33,0.0554,89.0,635.0,0.633,0.64,15.019,CONFIRMED,kepler,
12.03987488,2.7363,1250.6,2.18,0.0886,89.51,502.0,0.633,0.64,15.019,CONFIRMED,kepler,
20.83762895,2.3734,439.0,1.42,0.1278,89.18,418.0,0.633,0.64,15.019,CONFIRMED,kepler,
8.8111022,5.0683,401.1,63.66,0.0919,67.15,1399.0,2.404,1.333,12.759,FALSE POSITIVE,kepler,
23.58917143,5.073,1200.7,3.16,0.1429,86.86,487.0,0.721,0.697,15.316,CONFIRMED,kepler,
6.481633073,3.784,298.5,2.54,0.0683,83.8,1145.0,1.302,1.009,12.365,CONFIRMED,kepler,
10.37168928,3.035,1254.9,3.2,0.0873,88.66,720.0,0.888,0.822,15.193,CONFIRMED,kepler,
3.96996298,1.1757,299.2,1.78,0.046,86.81,992.0,0.888,0.822,15.193,CONFIRMED,kepler,
4.40841331,5.012,549.4,2.66,0.052,74.9,1139.0,0.961,0.968,15.662,CONFIRMED,kepler,
7.9426176,6.703,1590.7,4.68,0.0789,77.16,878.0,0.926,1.036,15.26,FALSE POSITIVE,kepler,
226.8904775,7.558,3136.4,4.53,0.6732,89.76,236.0,0.75,0.789,15.859,CONFIRMED,kepler,
1.956811408,2.1958,24905.0,21.58,0.0259,78.08,1109.0,0.603,0.602,15.533,FALSE POSITIVE,kepler,
2.688899233,2.11275,37492.0,12.04,0.0335,90.0,929.0,0.639,0.699,15.766,CANDIDATE,kepler,
9.439459486,2.8979,3036.1,4.16,0.0837,89.89,686.0,0.779,0.891,15.067,CONFIRMED,kepler,
11.523067458,3.8757,507.3,3.13,0.1017,90.0,927.0,1.411,1.053,12.346,CONFIRMED,kepler,
20.47748843,2.8364,1382.4,2.92,0.1402,89.43,530.0,0.779,0.891,15.067,CONFIRMED,kepler,
3.336123113,1.9616,516.3,1.74,0.0418,88.88,970.0,0.779,0.891,15.067,CONFIRMED,kepler,
8.01078456,2.312,1333.6,1.72,0.0616,89.59,453.0,0.47,0.484,15.847,CONFIRMED,kepler,
12.07134205,4.3224,759.2,1.29,0.0809,89.96,395.0,0.47,0.484,15.847,CONFIRMED,kepler,
20.99587872,2.6333,767.3,1.3,0.117,89.79,328.0,0.47,0.484,15.847,CONFIRMED,kepler,
7.41113177,2.5242,620.5,2.45,0.0748,87.54,905.0,0.919,1.014,15.031,CONFIRMED,kepler,
1.000747038,0.9967,1823.5,4.14,0.0175,77.28,1620.0,0.79,0.718,15.419,FALSE POSITIVE,kepler,
8.884922995,2.07004,16053.0,10.51,0.0786,89.89,770.0,0.843,0.821,15.264,CONFIRMED,kepler,
8.09888906,4.20241,6911.1,8.95,0.0832,89.93,986.0,1.076,1.169,15.261,CONFIRMED,kepler,
10.00653012,5.344,936.1,3.52,0.0933,83.94,876.0,1.001,1.079,15.063,CONFIRMED,kepler,
17.855221681,7.41287,9065.2,13.16,0.1491,89.79,911.0,1.367,1.386,11.353,CONFIRMED,kepler,
12.732624065,2.2083,6465.7,4.87,0.0881,88.53,432.0,0.541,0.563,15.75,CANDIDATE,kepler,
83.92494032,6.7904,7958.7,4.78,0.3031,89.54,226.0,0.509,0.526,15.754,CANDIDATE,kepler,
5.007316661,4.2362,6932.3,6.96,0.0556,87.87,998.0,0.827,0.914,15.813,CONFIRMED,kepler,
2.211116989,1.6485,724.2,1.85,0.0294,84.94,931.0,0.646,0.71,15.791,CONFIRMED,kepler,
27.9541337,3.95,942.5,1.9,0.1593,89.94,400.0,0.646,0.71,15.791,CONFIRMED,kepler,
12.69104387,3.7727,252.1,2.57,0.1072,89.98,1008.0,1.626,1.019,12.935,CONFIRMED,kepler,
4.409409243,3.8636,12861.0,10.95,0.0491,89.83,1101.0,0.975,0.811,15.403,FALSE POSITIVE,kepler,
16.23947096,4.0374,2590.7,4.14,0.1229,89.92,598.0,0.837,0.937,15.258,CONFIRMED,kepler,
